Age (years),Probablity of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived  between ages x and x + 1, Total number of person-years lived above age x,Expectation of life at age x
0,0.006040,100000,604,99474,7605194,76.1
1,0.000464,99396,46,99373,7505720,75.5
2,0.000299,99350,30,99335,7406347,74.5
3,0.000234,99320,23,99309,7307012,73.6
4,0.000167,99297,17,99289,7207703,72.6
5,0.000157,99280,16,99273,7108415,71.6
6,0.000140,99265,14,99258,7009142,70.6
7,0.000125,99251,12,99245,6909884,69.6
8,0.000106,99239,10,99233,6810640,68.6
9,0.000084,99228,8,99224,6711406,67.6
10,0.000068,99220,7,99216,6612182,66.6
11,0.000076,99213,8,99209,6512966,65.6
12,0.000124,99205,12,99199,6413757,64.7
13,0.000222,99193,22,99182,6314558,63.7
14,0.000353,99171,35,99154,6215376,62.7
15,0.000489,99136,49,99112,6116222,61.7
16,0.000617,99088,61,99057,6017110,60.7
17,0.000747,99026,74,98989,5918053,59.8
18,0.000877,98952,87,98909,5819064,58.8
19,0.001007,98866,100,98816,5720155,57.9
20,0.001145,98766,113,98710,5621339,56.9
21,0.001274,98653,126,98590,5522629,56.0
22,0.001358,98527,134,98460,5424039,55.1
23,0.001380,98393,136,98326,5325579,54.1
24,0.001356,98258,133,98191,5227253,53.2
25,0.001317,98125,129,98060,5129062,52.3
26,0.001288,97995,126,97932,5031002,51.3
27,0.001269,97869,124,97807,4933070,50.4
28,0.001269,97745,124,97683,4835263,49.5
29,0.001286,97621,126,97558,4737580,48.5
30,0.001311,97495,128,97431,4640022,47.6
31,0.001338,97367,130,97302,4542590,46.7
32,0.001371,97237,133,97171,4445288,45.7
33,0.001415,97104,137,97035,4348118,44.8
34,0.001464,96966,142,96896,4251082,43.8
35,0.001526,96825,148,96751,4154187,42.9
36,0.001604,96677,155,96599,4057436,42.0
37,0.001697,96522,164,96440,3960837,41.0
38,0.001809,96358,174,96271,3864397,40.1
39,0.001945,96184,187,96090,3768126,39.2
40,0.002096,95996,201,95896,3672036,38.3
41,0.002271,95795,218,95686,3576140,37.3
42,0.002488,95578,238,95459,3480454,36.4
43,0.002749,95340,262,95209,3384995,35.5
44,0.003039,95078,289,94933,3289786,34.6
45,0.003335,94789,316,94631,3194853,33.7
46,0.003636,94473,343,94301,3100222,32.8
47,0.003961,94129,373,93943,3005921,31.9
48,0.004322,93756,405,93554,2911979,31.1
49,0.004720,93351,441,93131,2818425,30.2
50,0.005155,92911,479,92671,2725294,29.3
51,0.005608,92432,518,92172,2632623,28.5
52,0.006068,91913,558,91634,2540450,27.6
53,0.006524,91356,596,91058,2448816,26.8
54,0.006990,90759,634,90442,2357758,26.0
55,0.007486,90125,675,89788,2267316,25.2
56,0.008035,89450,719,89091,2177528,24.3
57,0.008642,88732,767,88348,2088437,23.5
58,0.009318,87965,820,87555,2000089,22.7
59,0.010059,87145,877,86707,1912534,21.9
60,0.010870,86269,938,85800,1825827,21.2
61,0.011744,85331,1002,84830,1740027,20.4
62,0.012677,84329,1069,83794,1655198,19.6
63,0.013681,83260,1139,82690,1571404,18.9
64,0.014789,82121,1215,81513,1488713,18.1
65,0.016069,80906,1300,80256,1407200,17.4
66,0.017526,79606,1395,78908,1326944,16.7
67,0.019123,78211,1496,77463,1248036,16.0
68,0.020811,76715,1597,75917,1170573,15.3
69,0.022610,75119,1698,74269,1094656,14.6
70,0.024538,73420,1802,72519,1020387,13.9
71,0.026769,71619,1917,70660,947867,13.2
72,0.029448,69701,2053,68675,877207,12.6
73,0.032446,67649,2195,66551,808532,12.0
74,0.035662,65454,2334,64287,741980,11.3
75,0.039058,63120,2465,61887,677694,10.7
76,0.042701,60654,2590,59359,615807,10.2
77,0.046896,58064,2723,56703,556447,9.6
78,0.051757,55341,2864,53909,499744,9.0
79,0.057367,52477,3010,50972,445835,8.5
80,0.063309,49467,3132,47901,394863,8.0
81,0.069561,46335,3223,44723,346963,7.5
82,0.076512,43112,3299,41463,302239,7.0
83,0.084685,39813,3372,38127,260777,6.5
84,0.093731,36442,3416,34734,222649,6.1
85,0.104141,33026,3439,31306,187915,5.7
86,0.115853,29587,3428,27873,156609,5.3
87,0.128581,26159,3364,24477,128736,4.9
88,0.142346,22795,3245,21173,104259,4.6
89,0.157154,19550,3072,18014,83087,4.2
90,0.172995,16478,2851,15053,65072,3.9
91,0.189837,13627,2587,12334,50020,3.7
92,0.207629,11040,2292,9894,37686,3.4
93,0.226298,8748,1980,7758,27791,3.2
94,0.245746,6768,1663,5937,20033,3.0
95,0.265856,5105,1357,4427,14096,2.8
96,0.286493,3748,1074,3211,9670,2.6
97,0.307502,2674,822,2263,6459,2.4
98,0.328719,1852,609,1547,4196,2.3
99,0.349975,1243,435,1026,2648,2.1
100,1.000000,808,808,1623,1623,2.0
