name,birthDate,deathDate,dateCalled,dateOrdained,seniority,gapStart,gapEnd,outDate,notes
David W. Patten,1799-11-14,1838-10-25,1835-02-14,1835-02-15,2,,,,
Thomas B. Marsh,1800-11-01,1868-01-31,1835-02-14,1835-04-25,1,,,1839-03-17,"Excommunicated March 17, 1839. Re-baptized July 16, 1857 but not reinstated as an apostle."
Brigham Young,1801-06-01,1877-08-29,1835-02-14,1835-02-14,3,,,,
Heber C. Kimball,1801-06-14,1868-06-22,1835-02-14,1835-02-14,4,,,,
Orson Hyde,1805-01-08,1878-11-28,1835-02-14,1835-02-15,15,1839-05-04,1839-06-27,,"Removed from the Twelve May 4, 1839, readmitted June 27, 1839. Given reduced seniority on April 10, 1875."
William E. McLellin,1806-01-18,1883-04-24,1835-02-14,1835-02-15,5,,,1838-05-11,"Excommunicated May 11, 1838."
Parley P. Pratt,1807-04-12,1857-05-13,1835-02-14,1835-02-21,6,,,,
Luke S. Johnson,1807-11-03,1861-12-09,1835-02-14,1835-02-15,7,,,1837-12-31,"Removed from the Twelve September 3, 1837. Remained an apostle until he denounced the church in December 1837. Re-baptized in 1846 but not reinstated as an apostle."
William Smith,1811-03-13,1893-11-13,1835-02-14,1835-02-15,8,1839-05-04,1839-05-25,1845-10-06,"Removed from the Twelve May 4, 1839, readmitted May 25, 1839. Excommunicated October 6, 1845."
Orson Pratt,1811-09-19,1881-10-03,1835-02-14,1835-04-26,18,1842-08-20,1843-01-20,,"Excommunicated for apostasy August 20, 1842. Readmitted January 20, 1843. Given reduced seniority in June 1875."
John F. Boynton,1811-09-20,1890-10-20,1835-02-14,1835-02-15,9,,,1838-04-12,"Removed from the Twelve September 3, 1837. Excommunicated April 12, 1838."
Lyman E. Johnson,1811-10-24,1859-12-20,1835-02-14,1835-02-14,10,,,1838-04-13,"Removed from the Twelve September 3, 1837. Remained an apostle until his excommunication April 13, 1838."
John E. Page,1799-02-25,1867-10-14,1838-12-19,1838-12-19,11,,,1846-06-27,"Excommunicated for apostasy on June 27, 1846."
John Taylor,1808-11-01,1887-07-25,1838-12-19,1838-12-19,12,,,,
Wilford Woodruff,1807-03-01,1898-09-02,1839-04-26,1839-04-26,13,,,,
George A. Smith,1817-06-26,1875-09-01,1839-04-26,1839-04-26,14,,,,
Willard Richards,1804-06-24,1854-03-11,1840-04-14,1840-04-14,16,,,,
Lyman Wight,1796-05-09,1858-03-31,1841-04-08,1841-04-08,17,,,1848-12-03,"Excommunicated December 3, 1848."
Amasa Lyman,1813-03-30,1877-02-04,1842-08-20,1842-08-20,19,,,1867-05-06,"Temporarily removed from the Twelve due to re-instatement of Orson Pratt January 20, 1843. Readmitted to the Twelve August 12, 1844. Excommunicated May 6, 1867. Posthumously reinstated as member and apostle January 12, 1909."
Ezra T. Benson,1811-02-22,1869-09-03,1846-07-16,1846-07-16,20,,,,
Charles C. Rich,1809-08-21,1883-11-17,1849-02-12,1849-02-12,21,,,,
Lorenzo Snow,1814-04-03,1901-10-10,1849-02-12,1849-02-12,22,,,,
Erastus Snow,1818-11-09,1888-05-27,1849-02-12,1849-02-12,23,,,,
Franklin D. Richards,1821-04-02,1899-12-09,1849-02-12,1849-02-12,24,,,,
George Q. Cannon,1827-01-11,1901-04-12,1860-08-26,1860-08-26,25,,,,
Brigham Young Jr.,1836-12-18,1903-04-11,1864-02-04,1864-02-04,26,,,,"Not a member of the Twelve until October 9, 1868"
Joseph F. Smith,1838-11-13,1918-11-19,1866-07-01,1866-07-01,27,,,,
Albert Carrington,1813-01-08,1889-09-19,1870-07-03,1870-07-03,28,,,1885-11-07,"Excommunicated November 7, 1885. Re-baptized November 1, 1887 but not reinstated as an apostle."
Moses Thatcher,1842-02-02,1909-08-21,1879-04-09,1879-04-09,29,,,,"Removed from the Twelve April 6 1896, but remained an apostle."
